 CoordinateX,Density,Velocity,Pressure,DummyOutput 
    0.785000000,   19.076667436,    8.690688411, 1691.348002851,    0.000000000
    0.795000000,   20.409114232,    8.699721346, 1691.638291192,    0.000000000
    0.805000000,   21.863850502,    8.698683755, 1694.108337340,    0.000000000
    0.815000000,   23.332035171,    8.706985725, 1694.026674436,    0.000000000
    0.825000000,   24.779846965,    8.706583844, 1695.133337955,    0.000000000
    0.835000000,   26.129823184,    8.702933164, 1696.043450108,    0.000000000
    0.845000000,   27.284728906,    8.711566163, 1692.962345901,    0.000000000
    0.855000000,   28.341050205,    8.690404484, 1696.811776630,    0.000000000
    0.865000000,   29.062155053,    8.713209883, 1688.985602098,    0.000000000
    0.875000000,   29.777617603,    8.679854507, 1695.650295769,    0.000000000
    0.885000000,   30.117378355,    8.705409101, 1685.809069550,    0.000000000
    0.895000000,   30.508796996,    8.657618636, 1690.738600453,    0.000000000
    0.905000000,   30.414606528,    8.637730239, 1667.252741648,    0.000000000
    0.915000000,   29.936796987,    8.384559589, 1619.099283912,    0.000000000
    0.925000000,   27.060636778,    7.561491899, 1399.767214776,    0.000000000
    0.935000000,   19.373756633,    4.400463314,  824.558483899,    0.000000000
    0.945000000,    8.313836374,   -3.266966494,  141.374662873,    0.000000000
    0.955000000,    5.992420000,   -6.196330000,   46.095000000,    0.000000000
    0.965000000,    5.992420000,   -6.196330000,   46.095000000,    0.000000000
    0.975000000,    5.992420000,   -6.196330000,   46.095000000,    0.000000000
    0.985000000,    5.992420000,   -6.196330000,   46.095000000,    0.000000000
    0.995000000,    5.992420000,   -6.196330000,   46.095000000,    0.000000000

