 CoordinateX,Density,Velocity,Pressure,DummyOutput 
    0.795000000,    0.273431671,    0.881601272,    0.286198533,    0.000000000
    0.805000000,    0.267779876,    0.873307598,    0.283624752,    0.000000000
    0.815000000,    0.262504003,    0.863985268,    0.280757197,    0.000000000
    0.825000000,    0.257563717,    0.853552293,    0.277578988,    0.000000000
    0.835000000,    0.252910351,    0.841926747,    0.274074505,    0.000000000
    0.845000000,    0.248490041,    0.829027152,    0.270230071,    0.000000000
    0.855000000,    0.244246564,    0.814773535,    0.266034477,    0.000000000
    0.865000000,    0.240123893,    0.799088698,    0.261479522,    0.000000000
    0.875000000,    0.236068397,    0.781899730,    0.256560557,    0.000000000
    0.885000000,    0.232030646,    0.763139862,    0.251277047,    0.000000000
    0.895000000,    0.227966834,    0.742750705,    0.245633138,    0.000000000
    0.905000000,    0.223839847,    0.720684980,    0.239638244,    0.000000000
    0.915000000,    0.219620019,    0.696909782,    0.233307646,    0.000000000
    0.925000000,    0.215285628,    0.671410442,    0.226663085,    0.000000000
    0.935000000,    0.210823191,    0.644194996,    0.219733339,    0.000000000
    0.945000000,    0.206227603,    0.615299218,    0.212554748,    0.000000000
    0.955000000,    0.201502160,    0.584792096,    0.205171619,    0.000000000
    0.965000000,    0.196658494,    0.552781491,    0.197636448,    0.000000000
    0.975000000,    0.191716438,    0.519419578,    0.190009858,    0.000000000
    0.985000000,    0.186703803,    0.484907454,    0.182360122,    0.000000000
    0.995000000,    0.181656031,    0.449498107,    0.174762141,    0.000000000

