#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00126  0.74030  0.000000  0.000000  0.000000     0.947
   0.00836  0.99180  0.00287  0.86713  0.000000  0.000000  0.000000     0.927
   0.01971  0.98065  0.00503  0.90451  0.000000  0.000000  0.000000     0.920
   0.03284  0.96776  0.00750  0.93649  0.000000  0.000000  0.000000     0.914
   0.04740  0.95345  0.01018  0.96162  0.000000  0.000000  0.000000     0.910
   0.06291  0.93819  0.01299  0.98357  0.000000  0.000000  0.000000     0.905
   0.07897  0.92239  0.01584  1.00221  0.000000  0.000000  0.000000     0.902
   0.09531  0.90630  0.01869  1.01941  0.000000  0.000000  0.000000     0.898
   0.11180  0.89005  0.02150  1.03416  0.000000  0.000000  0.000000     0.895
   0.12836  0.87372  0.02426  1.04812  0.000000  0.000000  0.000000     0.892
   0.14495  0.85735  0.02698  1.06106  0.000000  0.000000  0.000000     0.889
   0.16157  0.84095  0.02964  1.07330  0.000000  0.000000  0.000000     0.887
   0.17819  0.82453  0.03224  1.08461  0.000000  0.000000  0.000000     0.884
   0.19482  0.80810  0.03479  1.09569  0.000000  0.000000  0.000000     0.882
   0.21145  0.79166  0.03728  1.10598  0.000000  0.000000  0.000000     0.880
   0.22808  0.77521  0.03972  1.11649  0.000000  0.000000  0.000000     0.877
   0.24471  0.75875  0.04210  1.12612  0.000000  0.000000  0.000000     0.875
   0.26134  0.74228  0.04442  1.13598  0.000000  0.000000  0.000000     0.873
   0.27796  0.72581  0.04668  1.14524  0.000000  0.000000  0.000000     0.871
   0.29458  0.70934  0.04889  1.15477  0.000000  0.000000  0.000000     0.868
   0.31120  0.69286  0.05103  1.16382  0.000000  0.000000  0.000000     0.866
   0.32781  0.67639  0.05311  1.17298  0.000000  0.000000  0.000000     0.864
   0.34441  0.65991  0.05514  1.18215  0.000000  0.000000  0.000000     0.862
   0.36100  0.64344  0.05710  1.19104  0.000000  0.000000  0.000000     0.860
   0.37758  0.62697  0.05900  1.20021  0.000000  0.000000  0.000000     0.858
   0.39414  0.61050  0.06083  1.20911  0.000000  0.000000  0.000000     0.855
   0.41070  0.59404  0.06259  1.21824  0.000000  0.000000  0.000000     0.853
   0.42724  0.57759  0.06429  1.22737  0.000000  0.000000  0.000000     0.851
   0.44376  0.56115  0.06591  1.23658  0.000000  0.000000  0.000000     0.848
   0.46026  0.54472  0.06746  1.24586  0.000000  0.000000  0.000000     0.846
   0.47675  0.52830  0.06894  1.25522  0.000000  0.000000  0.000000     0.844
   0.49322  0.51189  0.07034  1.26478  0.000000  0.000000  0.000000     0.841
   0.50966  0.49550  0.07166  1.27441  0.000000  0.000000  0.000000     0.839
   0.52608  0.47913  0.07290  1.28419  0.000000  0.000000  0.000000     0.836
   0.54247  0.46278  0.07405  1.29430  0.000000  0.000000  0.000000     0.833
   0.55883  0.44645  0.07511  1.30439  0.000000  0.000000  0.000000     0.831
   0.57516  0.43015  0.07608  1.31507  0.000000  0.000000  0.000000     0.828
   0.59146  0.41387  0.07696  1.32573  0.000000  0.000000  0.000000     0.825
   0.60772  0.39763  0.07773  1.33679  0.000000  0.000000  0.000000     0.822
   0.62394  0.38143  0.07840  1.34836  0.000000  0.000000  0.000000     0.819
   0.64011  0.36526  0.07896  1.36054  0.000000  0.000000  0.000000     0.815
   0.65622  0.34916  0.07940  1.37303  0.000000  0.000000  0.000000     0.812
   0.67226  0.33313  0.07973  1.38678  0.000000  0.000000  0.000000     0.808
   0.68818  0.31720  0.07994  1.40144  0.000000  0.000000  0.000000     0.804
   0.70393  0.30145  0.08002  1.42105  0.000000  0.000000  0.000000     0.798
   0.71941  0.28597  0.07993  1.44190  0.000000  0.000000  0.000000     0.792
   0.73470  0.27069  0.07963  1.45625  0.000000  0.000000  0.000000     0.787
