#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.01872  0.00003  0.00091  0.75761  0.000000  0.000000  0.000000     0.944
   1.02053  0.00003 -0.00091  0.60254  0.000000  0.000000  0.000000     0.965
   1.02239  0.00024 -0.00276  0.44578  0.000000  0.000000  0.000000     0.981
   1.02434  0.00070 -0.00466  0.28843  0.000000  0.000000  0.000000     0.992
   1.02638  0.00140 -0.00657  0.13803  0.000000  0.000000  0.000000     0.998
   1.02852  0.00236 -0.00848 -0.00145  0.000000  0.000000  0.000000     1.000
   1.03078  0.00358 -0.01038 -0.12726  0.000000  0.000000  0.000000     0.998
   1.03317  0.00505 -0.01227 -0.23997  0.000000  0.000000  0.000000     0.994
   1.03573  0.00678 -0.01415 -0.33852  0.000000  0.000000  0.000000     0.989
   1.03847  0.00879 -0.01602 -0.42581  0.000000  0.000000  0.000000     0.983
   1.04143  0.01108 -0.01789 -0.50241  0.000000  0.000000  0.000000     0.976
   1.04465  0.01369 -0.01977 -0.57051  0.000000  0.000000  0.000000     0.969
   1.04817  0.01666 -0.02167 -0.63056  0.000000  0.000000  0.000000     0.962
   1.05206  0.02003 -0.02361 -0.68446  0.000000  0.000000  0.000000     0.955
   1.05638  0.02387 -0.02560 -0.73310  0.000000  0.000000  0.000000     0.948
   1.06122  0.02825 -0.02764 -0.77662  0.000000  0.000000  0.000000     0.941
   1.06669  0.03329 -0.02976 -0.81692  0.000000  0.000000  0.000000     0.935
   1.07289  0.03910 -0.03196 -0.85302  0.000000  0.000000  0.000000     0.929
   1.07997  0.04580 -0.03424 -0.88638  0.000000  0.000000  0.000000     0.923
   1.08805  0.05353 -0.03659 -0.91648  0.000000  0.000000  0.000000     0.918
   1.09723  0.06239 -0.03900 -0.94370  0.000000  0.000000  0.000000     0.913
   1.10755  0.07241 -0.04142 -0.96786  0.000000  0.000000  0.000000     0.908
   1.11896  0.08357 -0.04380 -0.98896  0.000000  0.000000  0.000000     0.904
   1.13134  0.09574 -0.04609 -1.00693  0.000000  0.000000  0.000000     0.901
   1.14453  0.10876 -0.04824 -1.02230  0.000000  0.000000  0.000000     0.898
   1.15836  0.12244 -0.05021 -1.03486  0.000000  0.000000  0.000000     0.895
   1.17268  0.13665 -0.05200 -1.04533  0.000000  0.000000  0.000000     0.893
   1.18737  0.15126 -0.05358 -1.05384  0.000000  0.000000  0.000000     0.891
   1.20235  0.16617 -0.05497 -1.06064  0.000000  0.000000  0.000000     0.889
   1.21756  0.18133 -0.05616 -1.06617  0.000000  0.000000  0.000000     0.888
   1.23295  0.19669 -0.05718 -1.07039  0.000000  0.000000  0.000000     0.887
   1.24849  0.21221 -0.05803 -1.07364  0.000000  0.000000  0.000000     0.887
