#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.01685  0.00024  0.00276  0.48901  0.001068  0.000472  0.151099     2.231
   1.01872  0.00003  0.00091  0.35664  0.001042  0.000464  0.112773     2.228
   1.02053  0.00003 -0.00091  0.22544  0.001038  0.000465  0.071609     2.225
   1.02239  0.00024 -0.00276  0.09289  0.001053  0.000472  0.028920     2.229
   1.02434  0.00070 -0.00466 -0.04176  0.001053  0.000472  0.013007     2.229
   1.02638  0.00140 -0.00657 -0.17202  0.001120  0.000500  0.050106     2.236
   1.02852  0.00236 -0.00848 -0.29082  0.001201  0.000533  0.078738     2.242
   1.03078  0.00358 -0.01038 -0.39828  0.001294  0.000570  0.099673     2.249
   1.03317  0.00505 -0.01227 -0.49406  0.001407  0.000614  0.112965     2.259
   1.03573  0.00678 -0.01415 -0.57834  0.001538  0.000665  0.120238     2.269
   1.03847  0.00879 -0.01602 -0.65219  0.001685  0.000721  0.122872     2.280
   1.04143  0.01108 -0.01789 -0.71685  0.001849  0.000783  0.122188     2.291
   1.04465  0.01369 -0.01977 -0.77377  0.002027  0.000851  0.119468     2.302
   1.04817  0.01666 -0.02167 -0.82387  0.002224  0.000924  0.114893     2.314
   1.05206  0.02003 -0.02361 -0.86833  0.002437  0.001004  0.109671     2.325
   1.05638  0.02387 -0.02560 -0.90796  0.002671  0.001091  0.103718     2.336
   1.06122  0.02825 -0.02764 -0.94338  0.002927  0.001185  0.097436     2.348
   1.06669  0.03329 -0.02976 -0.97530  0.003206  0.001287  0.091183     2.359
   1.07289  0.03910 -0.03196 -1.00401  0.003514  0.001399  0.084788     2.371
   1.07997  0.04580 -0.03424 -1.02984  0.003852  0.001522  0.078583     2.382
   1.08805  0.05353 -0.03659 -1.05292  0.004223  0.001656  0.072497     2.394
   1.09723  0.06239 -0.03900 -1.07336  0.004627  0.001801  0.066768     2.406
   1.10755  0.07241 -0.04142 -1.09120  0.005061  0.001956  0.061376     2.418
   1.11896  0.08357 -0.04380 -1.10642  0.005523  0.002121  0.056388     2.430
   1.13134  0.09574 -0.04609 -1.11916  0.006004  0.002291  0.051884     2.442
   1.14453  0.10876 -0.04824 -1.12962  0.006497  0.002464  0.047854     2.453
   1.15836  0.12244 -0.05021 -1.13804  0.006997  0.002639  0.044255     2.464
   1.17268  0.13665 -0.05200 -1.14471  0.007499  0.002814  0.041055     2.476
   1.18737  0.15126 -0.05358 -1.14991  0.008000  0.002987  0.038222     2.487
   1.20235  0.16617 -0.05497 -1.15386  0.008500  0.003158  0.035673     2.498
   1.21756  0.18133 -0.05616 -1.15680  0.008997  0.003327  0.033399     2.509
   1.23295  0.19669 -0.05718 -1.15888  0.009492  0.003494  0.031337     2.520
   1.24849  0.21221 -0.05803 -1.16023  0.009985  0.003659  0.029462     2.531
   1.26417  0.22787 -0.05871 -1.16098  0.010475  0.003823  0.027763     2.542
   1.27995  0.24365 -0.05924 -1.16122  0.010964  0.003984  0.026202     2.553
   1.29583  0.25952 -0.05963 -1.16103  0.011451  0.004144  0.024771     2.564
   1.31180  0.27549 -0.05988 -1.16046  0.011938  0.004302  0.023444     2.576
   1.32784  0.29153 -0.06000 -1.15960  0.012423  0.004459  0.022224     2.587
   1.34396  0.30765 -0.06000 -1.15846  0.012908  0.004614  0.021090     2.598
   1.36014  0.32382 -0.05989 -1.15711  0.013391  0.004768  0.020040     2.609
   1.37637  0.34006 -0.05967 -1.15557  0.013875  0.004921  0.019060     2.621
   1.39266  0.35634 -0.05935 -1.15387  0.014359  0.005072  0.018146     2.632
   1.40899  0.37267 -0.05893 -1.15204  0.014840  0.005222  0.017297     2.643
   1.42537  0.38904 -0.05842 -1.15010  0.015323  0.005371  0.016497     2.654
   1.44180  0.40545 -0.05782 -1.14807  0.015803  0.005519  0.015755     2.665
   1.45825  0.42190 -0.05714 -1.14597  0.016285  0.005666  0.015054     2.676
   1.47475  0.43838 -0.05639 -1.14380  0.016765  0.005812  0.014400     2.687
   1.49128  0.45488 -0.05555 -1.14159  0.017244  0.005956  0.013784     2.698
   1.50783  0.47142 -0.05465 -1.13934  0.017723  0.006100  0.013204     2.709
   1.52442  0.48797 -0.05368 -1.13707  0.018199  0.006242  0.012661     2.720
   1.54103  0.50455 -0.05265 -1.13477  0.018677  0.006384  0.012146     2.730
   1.55767  0.52115 -0.05156 -1.13247  0.019152  0.006524  0.011664     2.741
   1.57432  0.53777 -0.05041 -1.13015  0.019626  0.006663  0.011207     2.751
   1.59100  0.55441 -0.04920 -1.12784  0.020099  0.006801  0.010776     2.761
   1.60770  0.57105 -0.04794 -1.12553  0.020572  0.006939  0.010367     2.771
   1.62441  0.58772 -0.04663 -1.12323  0.021043  0.007075  0.009982     2.781
   1.64114  0.60439 -0.04527 -1.12093  0.021514  0.007210  0.009612     2.791
   1.65788  0.62107 -0.04387 -1.11865  0.021983  0.007345  0.009264     2.801
   1.67464  0.63777 -0.04242 -1.11638  0.022452  0.007478  0.008933     2.811
   1.69141  0.65446 -0.04092 -1.11413  0.022921  0.007611  0.008616     2.821
   1.70818  0.67117 -0.03939 -1.11189  0.023390  0.007742  0.008313     2.830
   1.72497  0.68788 -0.03781 -1.10966  0.023859  0.007873  0.008022     2.840
   1.74176  0.70459 -0.03619 -1.10745  0.024330  0.008003  0.007742     2.850
   1.75856  0.72131 -0.03453 -1.10526  0.024799  0.008133  0.007475     2.860
   1.77536  0.73803 -0.03284 -1.10308  0.025273  0.008261  0.007214     2.870
   1.79216  0.75474 -0.03111 -1.10092  0.025747  0.008390  0.006964     2.880
