#      x          Cp  
     1.00000    0.46550
     0.99180    0.25205
     0.98065    0.18398
     0.96776    0.12395
     0.95345    0.07565
     0.93819    0.03265
     0.92239   -0.00442
     0.90630   -0.03910
     0.89005   -0.06918
     0.87372   -0.09796
     0.85735   -0.12488
     0.84095   -0.15055
     0.82453   -0.17447
     0.80810   -0.19809
     0.79166   -0.22015
     0.77521   -0.24287
     0.75875   -0.26381
     0.74228   -0.28535
     0.72581   -0.30573
     0.70934   -0.32681
     0.69286   -0.34695
     0.67639   -0.36743
     0.65991   -0.38806
     0.64344   -0.40816
     0.62697   -0.42900
     0.61050   -0.44932
     0.59404   -0.47029
     0.57759   -0.49136
     0.56115   -0.51271
     0.54472   -0.53433
     0.52830   -0.55623
     0.51189   -0.57875
     0.49550   -0.60151
     0.47913   -0.62476
     0.46278   -0.64889
     0.44645   -0.67312
     0.43015   -0.69888
     0.41387   -0.72474
     0.39763   -0.75170
     0.38143   -0.78004
     0.36526   -0.81006
     0.34916   -0.84101
     0.33313   -0.87528
     0.31720   -0.91204
     0.30145   -0.96160
     0.28597   -1.01472
     0.27069   -1.05155
     0.25553   -1.08552
     0.24049   -1.11523
     0.22555   -1.14251
     0.21073   -1.16639
     0.19603   -1.18869
     0.18148   -1.20814
     0.16710   -1.22528
     0.15293   -1.24019
     0.13901   -1.25267
     0.12539   -1.26286
     0.11218   -1.27067
     0.09946   -1.27607
     0.08739   -1.27872
     0.07611   -1.27969
     0.06577   -1.27704
     0.05647   -1.27230
     0.04825   -1.26488
     0.04107   -1.25440
     0.03485   -1.23971
     0.02947   -1.22145
     0.02481   -1.19705
     0.02077   -1.16733
     0.01726   -1.12852
     0.01420   -1.08008
     0.01152   -1.02065
     0.00918   -0.94193
     0.00716   -0.84777
     0.00540   -0.72979
     0.00391   -0.58369
     0.00267   -0.41300
     0.00167   -0.21172
     0.00091    0.01235
     0.00038    0.24548
     0.00008    0.47464
     0.00000    0.67746
     0.00014    0.84641
     0.00051    0.97638
     0.00115    1.05193
     0.00206    1.07134
     0.00324    1.04303
     0.00469    0.98135
     0.00641    0.90150
     0.00840    0.81310
     0.01068    0.72482
     0.01325    0.64047
     0.01615    0.56184
     0.01942    0.49011
     0.02312    0.42504
     0.02732    0.36556
     0.03211    0.31353
     0.03762    0.26667
     0.04399    0.22497
     0.05136    0.18879
     0.05989    0.15769
     0.06969    0.13188
     0.08078    0.11077
     0.09310    0.09457
     0.10648    0.08251
     0.12071    0.07377
     0.13559    0.06795
     0.15097    0.06402
     0.16671    0.06170
     0.18274    0.06021
     0.19900    0.05918
     0.21543    0.05851
     0.23201    0.05728
     0.24870    0.05575
     0.26547    0.05306
     0.28227    0.04879
     0.29900    0.03805
     0.31556    0.02608
     0.33205    0.02170
     0.34853    0.01904
     0.36503    0.01770
     0.38156    0.01762
     0.39813    0.01796
     0.41474    0.01918
     0.43137    0.02091
     0.44804    0.02259
     0.46474    0.02523
     0.48147    0.02772
     0.49822    0.03050
     0.51500    0.03370
     0.53179    0.03648
     0.54861    0.04020
     0.56545    0.04323
     0.58230    0.04681
     0.59916    0.05037
     0.61604    0.05426
     0.63293    0.05775
     0.64984    0.06145
     0.66675    0.06536
     0.68367    0.06946
     0.70059    0.07345
     0.71752    0.07778
     0.73445    0.08202
     0.75139    0.08642
     0.76833    0.09167
     0.78527    0.09628
     0.80220    0.10172
     0.81914    0.10774
     0.83606    0.11410
     0.85298    0.12132
     0.86987    0.12878
     0.88673    0.13820
     0.90351    0.14846
     0.92015    0.16109
     0.93648    0.17628
     0.95224    0.19514
     0.96700    0.21895
     0.98026    0.25364
     0.99165    0.29642
     1.00000    0.46550
